t,in,2,3
-9.745600E-05,2.017874E+00,1.9293103E+00,1.1774069E+00
-9.744000E-05,2.012259E+00,1.9369397E+00,1.1803061E+00
-9.742400E-05,2.011733E+00,1.9573865E+00,1.1780936E+00
-9.740800E-05,2.020156E+00,1.9711194E+00,1.1820609E+00
-9.739200E-05,2.020156E+00,1.9399915E+00,1.1776358E+00
-9.737600E-05,2.019629E+00,1.9378552E+00,1.1790854E+00
-9.736000E-05,2.014014E+00,1.9506726E+00,1.1812979E+00
-9.734400E-05,2.018401E+00,1.9439587E+00,1.1798483E+00
-9.732800E-05,2.022963E+00,1.9204602E+00,1.1796194E+00
-9.731200E-05,2.018401E+00,1.9271741E+00,1.1829764E+00
-9.729600E-05,2.022437E+00,1.9546399E+00,1.1803061E+00
-9.728000E-05,2.017348E+00,1.9564709E+00,1.1796194E+00
-9.726400E-05,2.011206E+00,1.9329724E+00,1.1812979E+00
-9.724800E-05,2.013312E+00,1.9546399E+00,1.1778647E+00
-9.723200E-05,2.014014E+00,1.9515881E+00,1.1798483E+00
-9.721600E-05,2.012786E+00,1.9732556E+00,1.1829764E+00
-9.720000E-05,2.020682E+00,1.9439587E+00,1.1793143E+00
-9.718400E-05,2.014014E+00,1.9399915E+00,1.1812979E+00
-9.716800E-05,2.010504E+00,1.9399915E+00,1.1815268E+00
-9.715200E-05,2.016120E+00,1.9546399E+00,1.1788565E+00
-9.713600E-05,2.016822E+00,1.9604382E+00,1.1837393E+00
-9.712000E-05,2.015593E+00,1.9467053E+00,1.1796194E+00
-9.710400E-05,2.015067E+00,1.9525037E+00,1.1805350E+00
-9.708800E-05,2.016120E+00,1.9360242E+00,1.1822897E+00
-9.707200E-05,2.018401E+00,1.9555554E+00,1.1825186E+00
-9.705600E-05,2.024543E+00,1.9506726E+00,1.1810690E+00
-9.704000E-05,2.017874E+00,1.9360242E+00,1.1820609E+00
-9.702400E-05,2.013312E+00,1.9488416E+00,1.1817557E+00
-9.700800E-05,2.015067E+00,1.9476208E+00,1.1796194E+00
-9.699200E-05,2.018927E+00,1.9378552E+00,1.1829764E+00
-9.697600E-05,2.017874E+00,1.9253430E+00,1.1815268E+00
-9.696000E-05,2.019629E+00,1.9537244E+00,1.1829764E+00
-9.694400E-05,2.017874E+00,1.9506726E+00,1.1822897E+00
-9.692800E-05,2.014014E+00,1.9586072E+00,1.1768729E+00
-9.691200E-05,2.021209E+00,1.9448743E+00,1.1798483E+00
-9.689600E-05,2.012786E+00,1.9555554E+00,1.1822897E+00
-9.688000E-05,2.017874E+00,1.9573865E+00,1.1800772E+00
-9.686400E-05,2.016120E+00,1.9515881E+00,1.1805350E+00
